# Number ot time steps:856 N. contractions:400 N. expansions:454
#   t    y(0)...   Estimated error=0.0746039
# hmin:0.0127324 hmax:0.25882
0 1 2 
0.124117 1.23728 1.80002 
0.218863 1.39679 1.55753 
0.303699 1.51803 1.2973 
0.388535 1.61635 1.02094 
0.47371 1.6916 0.749255 
0.564311 1.74723 0.484446 
0.672126 1.78445 0.214943 
0.811157 1.79457 -0.0565795 
0.941451 1.77436 -0.245223 
1.07175 1.73277 -0.387599 
1.2097 1.67092 -0.505268 
1.36267 1.58523 -0.613024 
1.53894 1.46726 -0.725374 
1.74698 1.30248 -0.862304 
1.98133 1.07978 -1.04798 
2.17216 0.861906 -1.24541 
2.34565 0.626512 -1.47894 
2.51915 0.345041 -1.777 
2.66545 0.0635172 -2.07519 
2.77411 -0.174655 -2.30561 
2.86934 -0.403217 -2.48664 
2.95613 -0.62463 -2.60407 
3.03709 -0.837642 -2.64317 
3.11805 -1.05016 -2.58903 
3.19962 -1.25545 -2.4266 
3.28364 -1.44845 -2.15245 
3.34946 -1.58134 -1.88037 
3.41179 -1.68976 -1.59661 
3.47413 -1.7802 -1.3065 
3.53779 -1.85416 -1.02042 
3.60589 -1.9139 -0.739669 
3.68556 -1.96115 -0.455031 
3.79504 -1.9932 -0.145015 
3.89106 -1.99695 0.0578951 
3.98708 -1.98376 0.210076 
4.08548 -1.95709 0.327158 
4.19045 -1.91758 0.42183 
4.3068 -1.86362 0.502954 
4.44003 -1.7915 0.577767 
4.59722 -1.69461 0.654344 
4.78749 -1.56163 0.744672 
5.02007 -1.37449 0.869884 
5.2661 -1.14053 1.04291 
5.46158 -0.919356 1.23039 
5.63597 -0.686362 1.45262 
5.80673 -0.415239 1.73443 
5.96797 -0.109907 2.05917 
6.078 0.129841 2.29681 
6.17425 0.360499 2.48906 
6.26139 0.583601 2.6204 
6.34223 0.798258 2.67587 
6.42089 1.0081 2.64264 
6.49954 1.21133 2.50749 
6.58559 1.4165 2.24448 
6.65172 1.5563 1.97677 
6.71376 1.67024 1.69387 
6.7758 1.76618 1.3998 
6.83827 1.84449 1.10998 
6.90386 1.90785 0.827135 
6.9783 1.95861 0.544136 
7.0789 1.99703 0.232996 
7.17503 2.00809 0.00704966 
7.27115 2.00027 -0.162139 
7.36748 1.97828 -0.288842 
7.4685 1.94383 -0.389009 
7.57904 1.89602 -0.472893 
7.70424 1.83198 -0.547877 
7.85046 1.74643 -0.621225 
8.02603 1.63023 -0.702702 
8.24088 1.46821 -0.808724 
8.4997 1.23949 -0.96836 
8.71011 1.01825 -1.14483 
8.89278 0.7913 -1.35077 
9.0619 0.542662 -1.6008 
9.23103 0.246084 -1.91635 
9.35576 -0.00944088 -2.18191 
9.45863 -0.245347 -2.3999 
9.54978 -0.471978 -2.56376 
9.63347 -0.69109 -2.65921 
9.71243 -0.902202 -2.67259 
9.79139 -1.11065 -2.58958 
9.87282 -1.31428 -2.39426 
9.94718 -1.48284 -2.12859 
10.0113 -1.61066 -1.8511 
10.0725 -1.71514 -1.56479 
10.1336 -1.80193 -1.27549 
10.1967 -1.87325 -0.989982 
10.265 -1.93106 -0.708577 
10.3466 -1.97674 -0.420274 
10.4497 -2.00455 -0.132334 
10.5439 -2.00731 0.0649826 
10.638 -1.99391 0.213188 
10.735 -1.96743 0.327989 
10.8388 -1.92836 0.42108 
10.954 -1.87511 0.500856 
11.086 -1.80403 0.574288 
11.2418 -1.70866 0.649183 
11.4305 -1.57797 0.7371 
11.6616 -1.39417 0.858414 
11.913 -1.15811 1.03051 
12.1106 -0.937224 1.21557 
12.2862 -0.705506 1.43462 
12.4562 -0.43918 1.70996 
12.6262 -0.120241 2.04937 
12.7363 0.118608 2.28734 
12.8331 0.349842 2.48226 
12.9206 0.573285 2.61682 
13.0016 0.788349 2.67615 
13.0802 0.99816 2.64752 
13.1588 1.20177 2.51752 
13.2441 1.40649 2.26183 
13.3108 1.5485 1.99506 
13.373 1.6639 1.71261 
13.4352 1.76125 1.41775 
13.4976 1.8406 1.12718 
13.5629 1.90476 0.843979 
13.6365 1.95623 0.561322 
13.7342 1.99545 0.254157 
13.8308 2.00829 0.0219306 
13.925 2.00199 -0.148118 
14.0193 1.98176 -0.275867 
14.119 1.94896 -0.377974 
14.2279 1.90295 -0.463265 
14.351 1.84115 -0.538906 
14.4942 1.75865 -0.611963 
14.6656 1.64691 -0.691699 
14.8751 1.49162 -0.793389 
15.129 1.27213 -0.944358 
15.3468 1.04855 -1.11926 
15.5324 0.823176 -1.32043 
15.7021 0.579481 -1.56256 
15.8718 0.289066 -1.87043 
16.0038 0.023908 -2.14849 
16.1087 -0.213422 -2.37276 
16.2011 -0.441046 -2.54484 
16.2857 -0.661346 -2.65068 
16.3651 -0.873282 -2.6761 
16.4444 -1.08356 -2.60657 
16.5253 -1.28782 -2.42691 
16.6034 -1.46745 -2.15731 
16.668 -1.59807 -1.88176 
16.7293 -1.70466 -1.59631 
16.7906 -1.79353 -1.30598 
16.8534 -1.86648 -1.01954 
16.9209 -1.92561 -0.737941 
17.0004 -1.97255 -0.451448 
17.1065 -2.00363 -0.148449 
17.2009 -2.0077 0.0533069 
17.2953 -1.9952 0.204772 
17.3921 -1.96949 0.321444 
17.4954 -1.93124 0.415657 
17.6097 -1.87896 0.496069 
17.7404 -1.80916 0.569691 
17.8945 -1.71561 0.644209 
18.0808 -1.5876 0.730824 
18.309 -1.40781 0.849155 
18.5645 -1.17039 1.02094 
18.7636 -0.949806 1.20438 
18.9402 -0.71896 1.42128 
19.1098 -0.45586 1.69225 
19.2795 -0.141021 2.02764 
19.3915 0.0996812 2.26957 
19.4893 0.331662 2.46871 
19.5773 0.555681 2.60865 
19.6588 0.771441 2.67448 
19.7373 0.981287 2.6535 
19.8158 1.18558 2.53208 
19.9002 1.38969 2.28821 
19.9678 1.53554 2.02289 
20.0303 1.65335 1.74124 
20.0915 1.75098 1.45175 
20.1526 1.83093 1.16559 
20.217 1.89671 0.88277 
20.2889 1.94982 0.600965 
20.381 1.99082 0.301202 
20.4791 2.00772 0.054142 
20.5731 2.00409 -0.12352 
20.667 1.98594 -0.257009 
20.7657 1.95515 -0.362751 
20.8729 1.91139 -0.450274 
20.9933 1.85241 -0.527024 
21.1328 1.77372 -0.599963 
21.299 1.66751 -0.677801 
